     0.000000
  4.9098E+00  2.0615E-02  1.3606E+00  6.8676E+00  4.1101E-01 -9.7894E-03  1.2769E+00 -8.5400E-02 -3.5473E-05  9.9268E-04
     1.680000
  4.8810E+00  3.5679E+00  3.7962E+00  7.1766E+00  4.0702E-01 -9.9214E-03  2.3780E+00 -2.3323E-02 -3.5918E-02  1.2622E-03
  4.8810E+00  2.0965E-02  1.3914E+00  7.1883E+00  4.0702E-01 -9.9214E-03  1.2564E+00 -1.0131E-01 -3.5473E-05  1.0594E-03
     1.740000
  4.8533E+00  3.7311E+00  4.0767E+00  7.7842E+00  4.1562E-01 -1.0168E-02  2.5118E+00 -2.4053E-02 -3.6900E-02  1.2698E-03
  4.8533E+00  2.1848E-02  1.4658E+00  7.4695E+00  4.1562E-01 -1.0168E-02  1.2690E+00 -9.2262E-02 -3.5635E-05  1.1201E-03
     1.800000
  4.8288E+00  3.8932E+00  4.3663E+00  8.4233E+00  4.1909E-01 -1.0253E-02  2.6221E+00 -2.4405E-02 -3.7849E-02  1.2959E-03
  4.8288E+00  2.2651E-02  1.5422E+00  7.7467E+00  4.1909E-01 -1.0253E-02  1.2772E+00 -1.0334E-01 -3.5848E-05  1.2244E-03
     1.860000
  4.8091E+00  4.0539E+00  4.6602E+00  9.0936E+00  4.3388E-01 -1.0582E-02  2.7676E+00 -2.5331E-02 -4.3183E-02  1.2289E-03
  4.8091E+00  2.3293E-02  1.6056E+00  8.0207E+00  4.3388E-01 -1.0582E-02  1.3024E+00 -1.0431E-01 -3.4712E-05  1.0958E-03
     1.920000
  4.7908E+00  4.2120E+00  4.9658E+00  9.7927E+00  4.3247E-01 -1.0998E-02  2.8993E+00 -2.6513E-02 -4.2591E-02  1.0711E-03
  4.7908E+00  2.4125E-02  1.6794E+00  8.2960E+00  4.3247E-01 -1.0998E-02  1.3208E+00 -1.0820E-01 -3.6564E-05  9.9311E-04
     1.980000
  4.7823E+00  4.3674E+00  5.2797E+00  1.0526E+01  4.2995E-01 -1.1168E-02  3.0104E+00 -2.7084E-02 -4.3687E-02  1.0868E-03
  4.7823E+00  2.5050E-02  1.7483E+00  8.5730E+00  4.2995E-01 -1.1168E-02  1.3189E+00 -1.1314E-01 -3.7734E-05  1.0511E-03
     2.040000
  4.7763E+00  4.5208E+00  5.6011E+00  1.1289E+01  4.2654E-01 -1.1496E-02  3.1426E+00 -2.8109E-02 -4.9983E-02  1.1164E-03
  4.7763E+00  2.5945E-02  1.8248E+00  8.8442E+00  4.2654E-01 -1.1496E-02  1.3151E+00 -1.1586E-01 -3.8909E-05  1.1189E-03
     2.100000
  4.7783E+00  4.6721E+00  5.9301E+00  1.2079E+01  4.2040E-01 -1.1708E-02  3.2465E+00 -2.8878E-02 -5.3937E-02  1.0330E-03
  4.7783E+00  2.6869E-02  1.8783E+00  9.1072E+00  4.2040E-01 -1.1708E-02  1.2995E+00 -1.2700E-01 -3.9133E-05  1.1376E-03
     2.160000
  4.7861E+00  4.8220E+00  6.2603E+00  1.2896E+01  4.2585E-01 -1.1858E-02  3.3904E+00 -2.9415E-02 -5.5062E-02  9.2110E-04
  4.7861E+00  2.7701E-02  1.9487E+00  9.3338E+00  4.2585E-01 -1.1858E-02  1.3060E+00 -1.2286E-01 -3.8947E-05  1.0889E-03
     2.220000
  4.7978E+00  4.9708E+00  6.5995E+00  1.3751E+01  4.3278E-01 -1.2128E-02  3.5577E+00 -3.0272E-02 -5.6781E-02  8.2859E-04
  4.7978E+00  2.8600E-02  2.0232E+00  9.5615E+00  4.3278E-01 -1.2128E-02  1.3175E+00 -1.3447E-01 -3.9478E-05  1.0095E-03
     2.280000
  4.8202E+00  5.1182E+00  6.9458E+00  1.4644E+01  4.4114E-01 -1.2608E-02  3.7144E+00 -3.1659E-02 -6.0033E-02  7.8686E-04
  4.8202E+00  2.9625E-02  2.0962E+00  9.7830E+00  4.4114E-01 -1.2608E-02  1.3304E+00 -1.3817E-01 -4.3095E-05  1.0003E-03
     2.340000
  4.8463E+00  5.2647E+00  7.2993E+00  1.5562E+01  4.3815E-01 -1.3022E-02  3.8556E+00 -3.2921E-02 -6.2934E-02  8.3161E-04
  4.8463E+00  3.0570E-02  2.1804E+00  1.0014E+01  4.3815E-01 -1.3022E-02  1.3411E+00 -1.3916E-01 -4.6814E-05  1.1654E-03
     2.400000
  4.8784E+00  5.4108E+00  7.6619E+00  1.6515E+01  4.3709E-01 -1.3224E-02  4.0055E+00 -3.3659E-02 -6.9475E-02  9.7224E-04
  4.8784E+00  3.1480E-02  2.2570E+00  1.0255E+01  4.3709E-01 -1.3224E-02  1.3364E+00 -1.4997E-01 -4.5796E-05  1.2761E-03
     2.460000
  4.9174E+00  5.5570E+00  8.0336E+00  1.7504E+01  4.4207E-01 -1.3526E-02  4.1836E+00 -3.4644E-02 -7.3130E-02  9.4869E-04
  4.9174E+00  3.2700E-02  2.3383E+00  1.0467E+01  4.4207E-01 -1.3526E-02  1.3392E+00 -1.5122E-01 -4.4532E-05  1.2135E-03
     2.520000
  4.9657E+00  5.7032E+00  8.4148E+00  1.8529E+01  4.5155E-01 -1.3885E-02  4.3640E+00 -3.5779E-02 -7.2867E-02  7.9222E-04
  4.9657E+00  3.4243E-02  2.4209E+00  1.0665E+01  4.5155E-01 -1.3885E-02  1.3516E+00 -1.5924E-01 -4.2290E-05  1.0890E-03
     2.580000
  5.0210E+00  5.8497E+00  8.8039E+00  1.9588E+01  4.6245E-01 -1.4382E-02  4.5669E+00 -3.7233E-02 -7.6055E-02  6.7240E-04
  5.0210E+00  3.5946E-02  2.5125E+00  1.0854E+01  4.6245E-01 -1.4382E-02  1.3771E+00 -1.6292E-01 -4.3183E-05  1.0120E-03
     2.640000
  5.0822E+00  5.9969E+00  9.2076E+00  2.0684E+01  4.6563E-01 -1.4854E-02  4.7648E+00 -3.8643E-02 -8.0089E-02  6.6475E-04
  5.0822E+00  3.7723E-02  2.6058E+00  1.1054E+01  4.6563E-01 -1.4854E-02  1.4020E+00 -1.6975E-01 -4.4461E-05  1.0108E-03
     2.700000
  5.1526E+00  6.1455E+00  9.6240E+00  2.1826E+01  4.7276E-01 -1.5273E-02  4.9654E+00 -3.9911E-02 -8.5633E-02  7.5897E-04
  5.1526E+00  3.9612E-02  2.7008E+00  1.1255E+01  4.7276E-01 -1.5273E-02  1.4220E+00 -1.7328E-01 -4.4768E-05  1.0990E-03
     2.760000
  5.2301E+00  6.2962E+00  1.0053E+01  2.3004E+01  4.7660E-01 -1.5819E-02  5.1802E+00 -4.1547E-02 -9.1372E-02  7.7169E-04
